Mechanism,Compound,Superpathway,Pathway,Protein_ID,Gene,central_pathway,code_compound,code_pathway
Ae_Aerobic,"1,2,3,5-Tetrahydroxybenzene","1,2,3,5-Tetrahydroxybenzene pathway","1,2,3,5-Tetrahydroxybenzene pathway",Q5BGJ9,AN0331,Yes,1235teHB,1235teHB-p
Ae_Aerobic,"1,2,3,5-Tetrahydroxybenzene","1,2,3,5-Tetrahydroxybenzene pathway","1,2,3,5-Tetrahydroxybenzene pathway",C8V4M5,AN10530,Yes,1235teHB,1235teHB-p
Ae_Aerobic,"1,2,3,5-Tetrahydroxybenzene","1,2,3,5-Tetrahydroxybenzene pathway","1,2,3,5-Tetrahydroxybenzene pathway",AN12484,AN12484,Yes,1235teHB,1235teHB-p
Ae_Aerobic,"1,2,3,5-Tetrahydroxybenzene","1,2,3,5-Tetrahydroxybenzene pathway","1,2,3,5-Tetrahydroxybenzene pathway",Q0CN79,ATEG_04855,Yes,1235teHB,1235teHB-p
Ae_Aerobic,"1,2,3,5-Tetrahydroxybenzene","1,2,3,5-Tetrahydroxybenzene pathway","1,2,3,5-Tetrahydroxybenzene pathway",Q0CN78,ATEG_04856,Yes,1235teHB,1235teHB-p
Ae_Aerobic,"1,2,3,5-Tetrahydroxybenzene","1,2,3,5-Tetrahydroxybenzene pathway","1,2,3,5-Tetrahydroxybenzene pathway",ATEG_08221-22_new,ATEG_08221-22_new,Yes,1235teHB,1235teHB-p
Ae_Aerobic,"1,2,3,5-Tetrahydroxybenzene","1,2,3,5-Tetrahydroxybenzene pathway","1,2,3,5-Tetrahydroxybenzene pathway",A0A316U3U2,BCV69DRAFT_314223,Yes,1235teHB,1235teHB-p
Ae_Aerobic,"1,2,3,5-Tetrahydroxybenzene","1,2,3,5-Tetrahydroxybenzene pathway","1,2,3,5-Tetrahydroxybenzene pathway",A0A316U2J1,BCV69DRAFT_284635,Yes,1235teHB,1235teHB-p
Ae_Aerobic,"1,2,3,5-Tetrahydroxybenzene","1,2,3,5-Tetrahydroxybenzene pathway","1,2,3,5-Tetrahydroxybenzene pathway",A0A316U7V3,BCV69DRAFT_284636,Yes,1235teHB,1235teHB-p
Ae_Aerobic,3-Hydroxyanthranilate,3-Hydroxyanthranilate pathway,3-Hydroxyanthranilate pathway,ATEG_10009-10,3HAO,Yes,3HAO,3HAO-p
Ae_Aerobic,3-Hydroxyanthranilate,3-Hydroxyanthranilate pathway,3-Hydroxyanthranilate pathway,Q0C8H4,ACMSD,Yes,3HAO,3HAO-p
Ae_Aerobic,3-Hydroxyanthranilate,3-Hydroxyanthranilate pathway,3-Hydroxyanthranilate pathway,Q0C8H5,AMSDH,Yes,3HAO,3HAO-p
Ae_Aerobic,3-Hydroxyanthranilate,3-Hydroxyanthranilate pathway,3-Hydroxyanthranilate pathway,Q0CKN9,ATEG_05745,Yes,3HAO,3HAO-p
Ae_Aerobic,3-Hydroxyanthranilate,3-Hydroxyanthranilate pathway,3-Hydroxyanthranilate pathway,P47096,BNA1,Yes,3HAO,3HAO-p
Ae_Aerobic,3-Hydroxyanthranilate,3-Hydroxyanthranilate pathway,3-Hydroxyanthranilate pathway,Q4WZC3,bna1-2,Yes,3HAO,3HAO-p
Ae_Aerobic,3-Hydroxyanthranilate,3-Hydroxyanthranilate pathway,3-Hydroxyanthranilate pathway,F4P3F1,BNA1_BATDEDRAFT_30049,Yes,3HAO,3HAO-p
Ae_Aerobic,3-Hydroxyanthranilate,3-Hydroxyanthranilate pathway,3-Hydroxyanthranilate pathway,F4P9E8,BATDEDRAFT_30558,Yes,3HAO,3HAO-p
Ae_Aerobic,3-Hydroxyanthranilate,3-Hydroxyanthranilate pathway,3-Hydroxyanthranilate pathway,F4P9E9,BATDEDRAFT_35818,Yes,3HAO,3HAO-p
Ae_Aerobic,3-Hydroxyanthranilate,3-Hydroxyanthranilate pathway,3-Hydroxyanthranilate pathway,F4PAK6,BATDEDRAFT_37369,Yes,3HAO,3HAO-p
Ae_Aerobic,3-Oxoadipate,3-Oxoadipate pathway,3-Oxoadipate pathway (common),C8V5Q9,AN10495,Yes,3OXO,3OXO-c
Ae_Aerobic,3-Oxoadipate,3-Oxoadipate pathway,3-Oxoadipate pathway (common),Q5B621,AN4009,Yes,3OXO,3OXO-c
Ae_Aerobic,3-Oxoadipate,3-Oxoadipate pathway,3-Oxoadipate pathway (common),Q5B182,AN5698,Yes,3OXO,3OXO-c
Ae_Aerobic,3-Oxoadipate,3-Oxoadipate pathway,3-Oxoadipate pathway (common),NRRL3_01526,kctA,Yes,3OXO,3OXO-c
Ae_Aerobic,3-Oxoadipate,3-Oxoadipate pathway,3-Oxoadipate pathway (common),NRRL3_01886,kstA,Yes,3OXO,3OXO-c
Ae_Aerobic,3-Oxoadipate,3-Oxoadipate pathway,3-Oxoadipate pathway (common),Q59Z19,OSC1,Yes,3OXO,3OXO-c
Ae_Aerobic,3-Oxoadipate,3-Oxoadipate pathway,3-Oxoadipate pathway (common),Q5AD21,POT1-2,Yes,3OXO,3OXO-c
Ae_Aerobic,3-Oxoadipate,3-Oxoadipate pathway,3-Oxoadipate pathway (common),G8BEF7,OCT1,Yes,3OXO,3OXO-c
Ae_Aerobic,Catechol,3-Oxoadipate pathway catechol branch,3-Oxoadipate pathway catechol branch,Q5B6D5,AN3895,Yes,CAT,CAT-b
Ae_Aerobic,Catechol,3-Oxoadipate pathway catechol branch,3-Oxoadipate pathway catechol branch,Q5B5W9,AN4061,Yes,CAT,CAT-b
Ae_Aerobic,Catechol,3-Oxoadipate pathway catechol branch,3-Oxoadipate pathway catechol branch,AN4531b,AN4531b,Yes,CAT,CAT-b
Ae_Aerobic,Catechol,3-Oxoadipate pathway catechol branch,3-Oxoadipate pathway catechol branch,Q5B4J8,AN4532,Yes,CAT,CAT-b
Ae_Aerobic,Catechol,3-Oxoadipate pathway catechol branch,3-Oxoadipate pathway catechol branch,NRRL3_04787,crcA,Yes,CAT,CAT-b
Ae_Aerobic,Catechol,3-Oxoadipate pathway catechol branch,3-Oxoadipate pathway catechol branch,A0A2H3GAL0,FG03667,Yes,CAT,CAT-b
Ae_Aerobic,Catechol,3-Oxoadipate pathway catechol branch,3-Oxoadipate pathway catechol branch,P86029,HQD2,Yes,CAT,CAT-b
Ae_Aerobic,Catechol,3-Oxoadipate pathway catechol branch,3-Oxoadipate pathway catechol branch,Q5AMS5,MCI1,Yes,CAT,CAT-b
Ae_Aerobic,Catechol,3-Oxoadipate pathway catechol branch,3-Oxoadipate pathway catechol branch,A0A1D8PLG7,MLI1,Yes,CAT,CAT-b
Ae_Aerobic,Catechol,3-Oxoadipate pathway catechol branch,3-Oxoadipate pathway catechol branch,Q5AMS7,OEL1,Yes,CAT,CAT-b
Ae_Aerobic,Catechol,3-Oxoadipate pathway catechol branch,3-Oxoadipate pathway catechol branch,A0A084G3Y6,SAPIO_CDS6464,Yes,CAT,CAT-b
