Protein_ID (FAMeDB)	Protein name (as in reference)	Protein description	Protein names (Uniprot)	Acc.No.	locus tag (alternative e.g. not in uniprot)	InterPro	InterPro description	EC number (eggNOG)	Ortholog_Cluster_(similarity_of_domain_composition)	KEGG_ko_kofam	KEGG_ko_koala	Organism	Organism (ID)	Taxonomic lineage (Ids)	References (DOI ID)
Q5BGJ9	AN0331	5-Hydroxydienelactone catabolic enzyme, putative	Uncharacterized protein	Q5BGJ9	AN0331	N/A	N/A	N/A	61	N/A	N/A	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.1101/gr.112169.110; 10.1016/j.chembiol.2012.07.004
C8V4M5	AN10530	1,2,3,5-Tetrahydroxybenzene open-ring enzyme (DUF3500 domain-containing protein)	DUF3500 domain-containing protein	C8V4M5	AN10530	IPR021889	Protein of unknown function DUF3500	N/A	25	N/A	N/A	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	10.1007/s12010-016-2306-2
AN12484	AN12484	Acetopyruvate forming enzyme, putative		NA	AN12484	IPR011234; IPR036663	Fumarylacetoacetase-like, C-terminal; Fumarylacetoacetase-like, C-terminal domain superfamily	N/A	13	N/A	N/A	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	10.1042/bj3500537
Q0CN79	ATEG_04855	5-Hydroxydienelactone catabolic enzyme, putative	Uncharacterized protein	Q0CN79		N/A	N/A	N/A	61	N/A	N/A	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	341663	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 33178	10.1021/ja108280w; 10.1002/anie.202004733
Q0CN78	ATEG_04856	Acetopyruvate forming enzyme, putative	Fumarylacetoacetase-like C-terminal domain-containing protein	Q0CN78		IPR036663; IPR011234	Fumarylacetoacetase-like, C-terminal domain superfamily; Fumarylacetoacetase-like, C-terminal	N/A	13	N/A	N/A	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	341663	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 33178	10.1002/cbic.201000672; 10.1021/bi901123r; 10.1021/bi901597j
ATEG_08221-22_new	ATEG_08221-22_new	1,2,3,5-Tetrahydroxybenzene open-ring enzyme (DUF3500 domain-containing protein)		NA		IPR021889	Protein of unknown function DUF3500	N/A	25	N/A	N/A	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	341663	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 33178	10.1021/acs.orglett.7b02926
A0A316U3U2	BCV69DRAFT_314223	Acetopyruvate forming enzyme, putative (evidence limited to its presence in a gene cluster)	Putative mitochondrion protein	A0A316U3U2		IPR011234; IPR036663	Fumarylacetoacetase-like, C-terminal; Fumarylacetoacetase-like, C-terminal domain superfamily	N/A	13	N/A	N/A	Microstroma glucosiphilum	1684307	131567, 2759, 33154, 4751, 451864, 5204, 452284, 452283, 162475, 162477, 1981958	10.1021/acs.orglett.0c00440
A0A316U2J1	BCV69DRAFT_284635	5-Hydroxydienelactone catabolic enzyme, putative (evidence limited to its presence in a gene cluster)	Uncharacterized protein	A0A316U2J1		N/A	N/A	N/A	61	N/A	N/A	Microstroma glucosiphilum	1684307	131567, 2759, 33154, 4751, 451864, 5204, 452284, 452283, 162475, 162477, 1981958	10.1021/acs.orglett.7b02926; 10.1021/acschembio.0c00874
A0A316U7V3	BCV69DRAFT_284636	1,2,3,5-Tetrahydroxybenzene open-ring enzyme (DUF3500 domain-containing protein) (evidence limited to its presence in a gene cluster)	Putative GTP binding protein and negative regulator of the Ran/Tc4 GTPase cycle	A0A316U7V3		IPR021889	Protein of unknown function DUF3500	N/A	25	N/A	N/A	Microstroma glucosiphilum	1684307	131567, 2759, 33154, 4751, 451864, 5204, 452284, 452283, 162475, 162477, 1981958	10.1038/nchembio.2263
Q4WZC3	Bna1-2	3-Hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6)	3-hydroxyanthranilate 3,4-dioxygenase 2 (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase 2) (3-HAO-2) (3-hydroxyanthranilic acid dioxygenase 2) (HAD-2) (Biosynthesis of nicotinic acid protein 1-2)	Q4WZC3	Afu2g17450	IPR010329; IPR011051; IPR014710	3-hydroxyanthranilic acid dioxygenase; RmlC-like cupin domain superfamily; RmlC-like jelly roll fold	1.13.11.6	48	K00452	K00452	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720872, 746128	10.1038/s41598-018-20514-x;10.1016/j.jbiotec.2014.01.038; 10.1021/ol502242a
ATEG_10009-10	3HAO	3-Hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6)		NA		IPR010329; IPR011051; IPR014710	3-hydroxyanthranilic acid dioxygenase; RmlC-like cupin domain superfamily; RmlC-like jelly roll fold	1.13.11.6	48	K00452	K00452	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	341663	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 33178	10.1002/chem.202101447
Q0C8H4	ACMSD	Aminocarboxymuconate-semialdehyde decarboxylase, putative	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)	Q0C8H4		IPR006680; IPR032465; IPR032466	Amidohydrolase-related; 2-amino-3-carboxymuconate-6-semialdehyde decarboxylase; Metal-dependent hydrolase	4.1.1.45	32	K03392; K07045	K03392	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	341663	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 33178	10.1016/j.chembiol.2013.12.005; 10.1021/ja401945a; 10.1002/anie.201915514
Q0C8H5	AMSDH	Aminomuconate-semialdehyde dehydrogenase, putative	Aldehyde dehydrogenase domain-containing protein	Q0C8H5		IPR016160; IPR016162; IPR016163; IPR015590; IPR029510; IPR016161	Aldehyde dehydrogenase, cysteine active site; Aldehyde dehydrogenase, N-terminal; Aldehyde dehydrogenase, C-terminal; Aldehyde dehydrogenase domain; Aldehyde dehydrogenase, glutamic acid active site; Aldehyde/histidinol dehydrogenase	N/A	22	N/A	K23234	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	341663	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 33178	10.1038/s41589-022-01246-6
Q0CKN9	ATEG_05745	2-Aminomuconate deaminase, putative	Uncharacterized protein	Q0CKN9		IPR006175; IPR035959	YjgF/YER057c/UK114 family; RutC-like superfamily	3.5.99.5	49	N/A	N/A	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	341663	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 33178	10.1073/pnas.1503200112
F4P3F1	BNA1_BATDEDRAFT_30049	3-Hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (evidence limited to its presence in a gene cluster)	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD) (Biosynthesis of nicotinic acid protein 1)	F4P3F1		IPR010329; IPR014710; IPR011051	3-hydroxyanthranilic acid dioxygenase; RmlC-like jelly roll fold; RmlC-like cupin domain superfamily	1.13.11.6	48	K00452	K00452	Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus)	684364	131567, 2759, 33154, 4751, 112252, 4761, 2683659, 451435, 451442, 1142503, 100474, 109871	10.1128/genomea.00021-15; 10.1021/jacs.5c03717
F4P9E8	BATDEDRAFT_30558	2-Aminomuconate deaminase, putative (evidence limited to its presence in a gene cluster)	Uncharacterized protein	F4P9E8		IPR035959; IPR006175	RutC-like superfamily; YjgF/YER057c/UK114 family	3.5.99.5	49	K15067	N/A	Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus)	684364	131567, 2759, 33154, 4751, 112252, 4761, 2683659, 451435, 451442, 1142503, 100474, 109871	10.1006/bbrc.1995.2599; 10.1128/aem.01040-07; 10.1016/0003-9861(92)90577-j
F4P9E9	AMSDH_BATDEDRAFT_35818	Aminomuconate-semialdehyde dehydrogenase, putative (evidence limited to its presence in a gene cluster)	Aldehyde dehydrogenase domain-containing protein	F4P9E9		IPR029510; IPR015590; IPR016162; IPR016161; IPR016160; IPR016163	Aldehyde dehydrogenase, glutamic acid active site; Aldehyde dehydrogenase domain; Aldehyde dehydrogenase, N-terminal; Aldehyde/histidinol dehydrogenase; Aldehyde dehydrogenase, cysteine active site; Aldehyde dehydrogenase, C-terminal	N/A	22	N/A	N/A	Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus)	684364	131567, 2759, 33154, 4751, 112252, 4761, 2683659, 451435, 451442, 1142503, 100474, 109871	10.1007/s004380050950; 10.1016/j.fgb.2003.10.002; 10.1007/s002530100801; 10.1016/j.chembiol.2003.11.013; 10.1016/j.phytochem.2005.04.011; 10.1002/cbic.200500487; 10.1128/aem.00257-07; 10.1128/aem.01040-07; 10.1016/j.fgb.2007.04.008; 10.1074/jbc.m807168200; 10.1128/aem.00737-09; 10.1021/ja105785p; 10.1007/s00294-011-0336-4; 10.1039/c0ob01215g; 10.1016/j.chembiol.2013.11.008
F4PAK6	ACMSD_BATDEDRAFT_37369	Aminocarboxymuconate-semialdehyde decarboxylase, putative (evidence limited to its presence in a gene cluster)	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)	F4PAK6		IPR032465; IPR006680; IPR032466	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase; Amidohydrolase-related; Metal-dependent hydrolase	4.1.1.45	32	K03392; K07045	K03392	Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus)	684364	131567, 2759, 33154, 4751, 112252, 4761, 2683659, 451435, 451442, 1142503, 100474, 109871	10.1371/journal.pgen.1003323; 10.1007/s004380050950; 10.1007/s002530100801; 10.1016/j.chembiol.2003.11.013; 10.1016/j.fgb.2003.10.002; 10.1016/j.phytochem.2005.04.011; 10.1002/cbic.200500487; 10.1128/aem.00257-07; 10.1128/aem.01040-07; 10.1016/j.fgb.2007.04.008; 10.1074/jbc.m807168200; 10.1128/aem.00737-09; 10.1021/ja105785p; 10.1007/s00294-011-0336-4; 10.1039/c0ob01215g; 10.1016/j.chembiol.2013.11.008
P47096	BNA1	3-Hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6)	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD) (Biosynthesis of nicotinic acid protein 1)	P47096		IPR010329; IPR011051; IPR014710	3-hydroxyanthranilic acid dioxygenase; RmlC-like cupin domain superfamily; RmlC-like jelly roll fold	1.13.11.6	48	K00452	K00452	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 4893, 4930, 4932	10.1021/acs.orglett.7b01534
C8V5Q9	AN10495	Succinyl-CoA:3-Oxoadipate CoA-transferase (EC 2.8.3.6)	Succinyl-CoA:3-ketoacid-coenzyme A transferase (EC 2.8.3.5)	C8V5Q9	AN10495	IPR014388; IPR012791; IPR037171; IPR012792; IPR004165	3-oxoacid CoA-transferase; 3-oxoacid CoA-transferase, subunit B; NagB/RpiA transferase-like; 3-oxoacid CoA-transferase, subunit A; Coenzyme A transferase family I	2.8.3.5	40	K01027	K01027	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	10.1002/cbic.201600691; 10.1021/acs.biochem.2c00350
Q5B621	AN4009	Mitochondrial 3-oxoadipyl-CoA thiolase (EC 2.3.1.174)	Uncharacterized protein	Q5B621	AN4009	IPR016039; IPR020617; IPR050215; IPR002155; IPR020613; IPR020616; IPR020615	Thiolase-like; Thiolase, C-terminal; Thiolase-like superfamily, Thiolase; Thiolase; Thiolase, conserved site; Thiolase, N-terminal; Thiolase, acyl-enzyme intermediate active site	2.3.1.16	53	K07513	K07513	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.1007/s00253-016-7397-8
Q5B182	AN5698	Mitochondrial 3-oxoadipyl-CoA thiolase (EC 2.3.1.174)	acetyl-CoA C-acyltransferase (EC 2.3.1.16)	Q5B182	AN5698	IPR002155; IPR020615; IPR016039; IPR020613; IPR020610; IPR020616; IPR020617; IPR050215	Thiolase; Thiolase, acyl-enzyme intermediate active site; Thiolase-like; Thiolase, conserved site; Thiolase, active site; Thiolase, N-terminal; Thiolase, C-terminal; Thiolase-like superfamily, Thiolase	2.3.1.16	53	K07513	K07513	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.1039/C5SC04027B
